DataPoint,cycle_index,step_type,Time(h),Total Time(h),current_a,voltage_v,capacity_ah,spec_cap,chg_cap,chg_spec,dchg_cap,dchg_spec,energy_wh,date,power_w,mission_step,t_cum_s,Cycle,file,file_key,label,dvdt_v_per_s
29432,10,CC DChg,0.833333333333333,81.3659166666667,-0.00091945,3.5871,0.00076621,56.01,0.0,0.0,0.00076621,56.01,0.002855,2025-06-26 12:05:10,-0.00329814,take_off,0.0,10,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_not_drone,-7.999999999999118e-05
29433,10,CC DChg,0.836111111111111,81.3686944444444,-0.00091945,3.5863,0.00076876,56.19,0.0,0.0,0.00076876,56.19,0.00286416,2025-06-26 12:05:20,-0.00329745,take_off,10.0,10,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_not_drone,-7.50000000000195e-05
29434,10,CC DChg,0.838888888888889,81.3714722222222,-0.00091945,3.5856,0.00077132,56.38,0.0,0.0,0.00077132,56.38,0.00287332,2025-06-26 12:05:30,-0.00329675,take_off,20.0,10,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_not_drone,-7.499999999999174e-05
31022,11,CC DChg,0.883333333333333,85.7310833333333,-0.00091944,3.6377,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00307805,2025-06-26 16:27:07,-0.00334466,take_off,0.0,11,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-0.0001000000000000334
31023,11,CC DChg,0.886111111111111,85.7338611111111,-0.00091945,3.6367,0.00081473,59.55,0.0,0.0,0.00081473,59.55,0.00308734,2025-06-26 16:27:17,-0.00334378,take_off,10.0,11,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-9.00000000000123e-05
31024,11,CC DChg,0.888888888888889,85.7366388888889,-0.00091945,3.6359,0.00081729,59.74,0.0,0.0,0.00081729,59.74,0.00309663,2025-06-26 16:27:27,-0.003343,take_off,20.0,11,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-8.999999999999009e-05
33087,12,CC DChg,0.883333333333333,91.4226666666667,-0.00091946,3.6358,0.00081219,59.37,0.0,0.0,0.00081219,59.37,0.00307617,2025-06-26 22:08:37,-0.00334301,take_off,0.0,12,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-9.00000000000123e-05
33088,12,CC DChg,0.886111111111111,91.4254444444444,-0.00091946,3.6349,0.00081475,59.55,0.0,0.0,0.00081475,59.55,0.00308546,2025-06-26 22:08:47,-0.00334216,take_off,10.0,12,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-9.00000000000123e-05
33089,12,CC DChg,0.888888888888889,91.4282222222222,-0.00091946,3.634,0.0008173,59.74,0.0,0.0,0.0008173,59.74,0.00309475,2025-06-26 22:08:57,-0.00334134,take_off,20.0,12,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-9.500000000000064e-05
35147,13,CC DChg,0.883333333333333,97.0988888888889,-0.00091945,3.6374,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00307771,2025-06-27 03:49:12,-0.00334444,take_off,0.0,13,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-9.00000000000123e-05
