file,Cycle,Label,cycle_label_3class,cycle_label_3name,IR_early_growth_10_to_20,IR_early_growth_1_to_10,IR_early_growth_1_to_2,IR_early_growth_1_to_30,IR_early_growth_20_to_30,IR_early_growth_2_to_5,IR_early_growth_30_to_50,IR_early_growth_50_to_60,IR_early_growth_5_to_10,V_sag_growth_10_to_20,V_sag_growth_1_to_10,V_sag_growth_1_to_2,V_sag_growth_1_to_30,V_sag_growth_20_to_30,V_sag_growth_2_to_5,V_sag_growth_30_to_50,V_sag_growth_50_to_60,V_sag_growth_5_to_10,V_sag_ratio_growth_10_to_20,V_sag_ratio_growth_1_to_10,V_sag_ratio_growth_1_to_2,V_sag_ratio_growth_1_to_30,V_sag_ratio_growth_20_to_30,V_sag_ratio_growth_2_to_5,V_sag_ratio_growth_30_to_50,V_sag_ratio_growth_50_to_60,V_sag_ratio_growth_5_to_10,dvdt_std_growth_10_to_20,dvdt_std_growth_1_to_10,dvdt_std_growth_1_to_2,dvdt_std_growth_1_to_30,dvdt_std_growth_20_to_30,dvdt_std_growth_2_to_5,dvdt_std_growth_30_to_50,dvdt_std_growth_50_to_60,dvdt_std_growth_5_to_10,early10_IR_early,early10_IR_high_flag,early10_I_mean,early10_I_std,early10_V_mean,early10_V_min,early10_V_sag,early10_V_sag_ratio,early10_dvdt_fluct_flag,early10_dvdt_mean,early10_dvdt_std,early10_energy_per_I,early10_energy_ws,early10_missing,early10_power_mean,early10_power_std,early10_voltage_collapse_flag,early1_IR_early,early1_IR_high_flag,early1_I_mean,early1_I_std,early1_V_mean,early1_V_min,early1_V_sag,early1_V_sag_ratio,early1_dvdt_fluct_flag,early1_dvdt_mean,early1_dvdt_std,early1_energy_per_I,early1_energy_ws,early1_missing,early1_power_mean,early1_power_std,early1_voltage_collapse_flag,early2_IR_early,early2_IR_high_flag,early2_I_mean,early2_I_std,early2_V_mean,early2_V_min,early2_V_sag,early2_V_sag_ratio,early2_dvdt_fluct_flag,early2_dvdt_mean,early2_dvdt_std,early2_energy_per_I,early2_energy_ws,early2_missing,early2_power_mean,early2_power_std,early2_voltage_collapse_flag,early5_IR_early,early5_IR_high_flag,early5_I_mean,early5_I_std,early5_V_mean,early5_V_min,early5_V_sag,early5_V_sag_ratio,early5_dvdt_fluct_flag,early5_dvdt_mean,early5_dvdt_std,early5_energy_per_I,early5_energy_ws,early5_missing,early5_power_mean,early5_power_std,early5_voltage_collapse_flag,energy_per_I_growth_10_to_20,energy_per_I_growth_1_to_10,energy_per_I_growth_1_to_2,energy_per_I_growth_1_to_30,energy_per_I_growth_20_to_30,energy_per_I_growth_2_to_5,energy_per_I_growth_30_to_50,energy_per_I_growth_50_to_60,energy_per_I_growth_5_to_10,energy_ws_growth_10_to_20,energy_ws_growth_1_to_10,energy_ws_growth_1_to_2,energy_ws_growth_1_to_30,energy_ws_growth_20_to_30,energy_ws_growth_2_to_5,energy_ws_growth_30_to_50,energy_ws_growth_50_to_60,energy_ws_growth_5_to_10,power_std_growth_10_to_20,power_std_growth_1_to_10,power_std_growth_1_to_2,power_std_growth_1_to_30,power_std_growth_20_to_30,power_std_growth_2_to_5,power_std_growth_30_to_50,power_std_growth_50_to_60,power_std_growth_5_to_10
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx,4,GOOD,2,GOOD_drone,-2.729999999928623e-05,0.0,0.0,-0.00019670000000360233,-0.0001694000000043161,0.0,-0.00028149999999982356,-2.5399999998398926e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00209877,-0.00017177899999999994,-0.00017177899999999994,0.001690498,-0.00023649299999999995,0.0,-0.0001449159999999997,-0.00013089800000000039,0.0,161.4704986,1,-0.0039388,0.003024381,3.61594,3.2635,0.636,0.163097833,1,-0.000279743,0.000604935,-5.020270174,-0.01977384,0,-0.014548177,0.011808251,1,161.4704986,1,-0.0039388,0.003024381,3.61594,3.2635,0.636,0.163097833,0,-0.000629421,0.000776714,0.0,0.0,0,-0.014548177,0.011808251,1,161.4704986,1,-0.0039388,0.003024381,3.61594,3.2635,0.636,0.163097833,1,-0.000279743,0.000604935,-5.020270174,-0.01977384,0,-0.014548177,0.011808251,1,161.4704986,1,-0.0039388,0.003024381,3.61594,3.2635,0.636,0.163097833,1,-0.000279743,0.000604935,-5.020270174,-0.01977384,0,-0.014548177,0.011808251,1,-45.28528188599999,-5.020270174,-5.020270174,-150.1711079,-99.86555584000001,0.0,-49.63782789999999,-49.42589939999999,0.0,-0.17836970200000002,-0.01977384,-0.01977384,-0.591494681,-0.393351139,0.0,-0.19551508699999998,-0.19467946300000005,0.0,-8.87120000000012e-05,0.0,0.0,-0.00025549200000000126,-0.00016678000000000005,0.0,-7.154199999999909e-05,-6.437100000000057e-05,0.0
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx,5,GOOD,2,GOOD_drone,0.0003545999999801097,0.0,0.0,0.0006205999999906453,0.0002660000000105356,0.0,0.0,-1.2700000013410317e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002159565,-0.00016095600000000008,-0.00016095600000000008,0.0017500130000000001,-0.0002485959999999998,0.0,-0.000155938,-0.00013762500000000016,0.0,174.5956145,1,-0.003938816,0.003024427,3.58858,3.209,0.6877,0.176482665,1,-0.000273844,0.000582675,-5.009814132,-0.019732736,0,-0.014469075,0.011806134,1,174.5956145,1,-0.003938816,0.003024427,3.58858,3.209,0.6877,0.176482665,0,-0.000616148,0.000743631,0.0,0.0,0,-0.014469075,0.011806134,1,174.5956145,1,-0.003938816,0.003024427,3.58858,3.209,0.6877,0.176482665,1,-0.000273844,0.000582675,-5.009814132,-0.019732736,0,-0.014469075,0.011806134,1,174.5956145,1,-0.003938816,0.003024427,3.58858,3.209,0.6877,0.176482665,1,-0.000273844,0.000582675,-5.009814132,-0.019732736,0,-0.014469075,0.011806134,1,-45.194892327999995,-5.009814132,-5.009814132,-149.8014277,-99.59672124000001,0.0,-49.46087729999999,-49.2383543,0.0,-0.178013963,-0.019732736,-0.019732736,-0.590038163,-0.39229146400000003,0.0,-0.19481660199999995,-0.1939402,0.0,-9.072299999999915e-05,0.0,0.0,-0.00025929999999999877,-0.00016857699999999962,0.0,-7.069999999999993e-05,-6.290600000000146e-05,0.0
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx,6,GOOD,2,GOOD_drone,-0.00011680000000069413,0.0,0.0,0.00014010000001007938,0.0002569000000107735,0.0,-0.00012549999999578176,0.00019799999998326712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00214298,-0.00015195599999999997,-0.00015195599999999997,0.001736572,-0.00025445200000000006,0.0,-0.0001573490000000002,-0.00013856799999999994,0.0,172.462381,1,-0.00393883,0.00302443,3.60668,3.2283,0.6793,0.173840721,1,-0.000262872,0.000555996,-5.025179984,-0.01979333,0,-0.014531251,0.011835191,1,172.462381,1,-0.00393883,0.00302443,3.60668,3.2283,0.6793,0.173840721,0,-0.000591463,0.000707952,0.0,0.0,0,-0.014531251,0.011835191,1,172.462381,1,-0.00393883,0.00302443,3.60668,3.2283,0.6793,0.173840721,1,-0.000262872,0.000555996,-5.025179984,-0.01979333,0,-0.014531251,0.011835191,1,172.462381,1,-0.00393883,0.00302443,3.60668,3.2283,0.6793,0.173840721,1,-0.000262872,0.000555996,-5.025179984,-0.01979333,0,-0.014531251,0.011835191,1,-45.333568676000006,-5.025179984,-5.025179984,-150.1998358,-99.84108713999998,0.0,-49.56245610000002,-49.35019439999999,0.0,-0.178561354,-0.01979333,-0.01979333,-0.591611139,-0.39325645499999995,0.0,-0.19521850200000002,-0.19438088399999998,0.0,-9.047600000000079e-05,0.0,0.0,-0.00025675500000000087,-0.00016627900000000008,0.0,-6.862199999999909e-05,-6.058400000000068e-05,0.0
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx,7,GOOD,2,GOOD_drone,-0.0001469999999983429,0.0,0.0,-0.0006526000000235399,-0.000505600000025197,0.0,-0.00017049999999585452,-4.619999998567437e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002152234,-0.000152826,-0.000152826,0.0017380669999999998,-0.000261341,0.0,-0.00016034699999999992,-0.00013925400000000011,0.0,173.6812815,1,-0.003938824,0.003024386,3.60358,3.2216,0.6841,0.175154262,1,-0.000265181,0.000560273,-5.022015805,-0.019780836,0,-0.014519676,0.011828796,1,173.6812815,1,-0.003938824,0.003024386,3.60358,3.2216,0.6841,0.175154262,0,-0.000596657,0.000713099,0.0,0.0,0,-0.014519676,0.011828796,1,173.6812815,1,-0.003938824,0.003024386,3.60358,3.2216,0.6841,0.175154262,1,-0.000265181,0.000560273,-5.022015805,-0.019780836,0,-0.014519676,0.011828796,1,173.6812815,1,-0.003938824,0.003024386,3.60358,3.2216,0.6841,0.175154262,1,-0.000265181,0.000560273,-5.022015805,-0.019780836,0,-0.014519676,0.011828796,1,-45.306663705,-5.022015805,-5.022015805,-150.0948379,-99.76615838999999,0.0,-49.51178570000002,-49.306079100000005,0.0,-0.178455142,-0.019780836,-0.019780836,-0.591199371,-0.39296339299999994,0.0,-0.19501971400000007,-0.19420914999999994,0.0,-9.096700000000082e-05,0.0,0.0,-0.00025723000000000065,-0.00016626299999999983,0.0,-6.834000000000007e-05,-6.025599999999985e-05,0.0
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx,8,GOOD,2,GOOD_drone,-0.0006486000000052172,0.0,0.0,-0.0011675000000082036,-0.0005189000000029864,0.0,-5.600000000072214e-05,-4.010000000675973e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002167284,-0.00015199600000000005,-0.00015199600000000005,0.0017485609999999998,-0.000266727,0.0,-0.00016284299999999976,-0.00014145200000000024,0.0,174.1884282,1,-0.003938838,0.003024459,3.6031,3.2191,0.6861,0.175688825,1,-0.000264325,0.000558026,-5.021155114,-0.019777517,0,-0.014518381,0.011827652,1,174.1884282,1,-0.003938838,0.003024459,3.6031,3.2191,0.6861,0.175688825,0,-0.000594731,0.000710022,0.0,0.0,0,-0.014518381,0.011827652,1,174.1884282,1,-0.003938838,0.003024459,3.6031,3.2191,0.6861,0.175688825,1,-0.000264325,0.000558026,-5.021155114,-0.019777517,0,-0.014518381,0.011827652,1,174.1884282,1,-0.003938838,0.003024459,3.6031,3.2191,0.6861,0.175688825,1,-0.000264325,0.000558026,-5.021155114,-0.019777517,0,-0.014518381,0.011827652,1,-45.299086675999995,-5.021155114,-5.021155114,-150.0474905,-99.72724871000001,0.0,-49.4857384,-49.279666599999985,0.0,-0.17842650200000001,-0.019777517,-0.019777517,-0.591016719,-0.39281269999999996,0.0,-0.19491786600000005,-0.194106212,0.0,-9.15219999999984e-05,0.0,0.0,-0.0002583819999999997,-0.0001668600000000013,0.0,-6.813399999999921e-05,-5.984200000000092e-05,0.0
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx,9,GOOD,2,GOOD_drone,0.0005119000000206597,0.0,0.0,0.0006505000000061045,0.0001385999999854448,0.0,-1.810000000546097e-05,0.0003355000000055952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002206586,-0.00015391800000000007,-0.00015391800000000007,0.0017725099999999997,-0.00028015799999999997,0.0,-0.000166116,-0.0001442539999999999,0.0,177.9185058,1,-0.003938882,0.003024447,3.5913,3.1997,0.7008,0.179669273,1,-0.000269986,0.000568244,-5.013038544,-0.019745767,0,-0.014480516,0.011815479,1,177.9185058,1,-0.003938882,0.003024447,3.5913,3.1997,0.7008,0.179669273,0,-0.000607468,0.000722162,0.0,0.0,0,-0.014480516,0.011815479,1,177.9185058,1,-0.003938882,0.003024447,3.5913,3.1997,0.7008,0.179669273,1,-0.000269986,0.000568244,-5.013038544,-0.019745767,0,-0.014480516,0.011815479,1,177.9185058,1,-0.003938882,0.003024447,3.5913,3.1997,0.7008,0.179669273,1,-0.000269986,0.000568244,-5.013038544,-0.019745767,0,-0.014480516,0.011815479,1,-45.229577766000006,-5.013038544,-5.013038544,-149.7835704,-99.54095409,0.0,-49.39834239999999,-49.18763480000001,0.0,-0.178153401,-0.019745767,-0.019745767,-0.589977652,-0.392078484,0.0,-0.19457361000000006,-0.193741756,0.0,-9.313700000000008e-05,0.0,0.0,-0.00026183100000000056,-0.00016869400000000048,0.0,-6.866900000000037e-05,-6.027999999999936e-05,0.0
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx,10,GOOD,2,GOOD_drone,-0.0001546000000018921,0.0,0.0,0.000408399999997755,0.0005629999999996471,0.0,0.00024129999999900065,2.649999998993735e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002187608,-0.00015552700000000003,-0.00015552700000000003,0.0017558089999999999,-0.00027627200000000015,0.0,-0.00016533,-0.00014337399999999993,0.0,182.7691751,1,-0.003938848,0.003024413,3.5732,3.1715,0.7199,0.184997687,1,-0.000278397,0.000581824,-4.998613647,-0.019688779,0,-0.014419236,0.011789937,1,182.7691751,1,-0.003938848,0.003024413,3.5732,3.1715,0.7199,0.184997687,0,-0.000626394,0.000737351,0.0,0.0,0,-0.014419236,0.011789937,1,182.7691751,1,-0.003938848,0.003024413,3.5732,3.1715,0.7199,0.184997687,1,-0.000278397,0.000581824,-4.998613647,-0.019688779,0,-0.014419236,0.011789937,1,182.7691751,1,-0.003938848,0.003024413,3.5732,3.1715,0.7199,0.184997687,1,-0.000278397,0.000581824,-4.998613647,-0.019688779,0,-0.014419236,0.011789937,1,-45.102181033,-4.998613647,-4.998613647,-149.3721093,-99.27131462,0.0,-49.25457929999999,-49.0494047,0.0,-0.17765080300000002,-0.019688779,-0.019688779,-0.588352719,-0.39101313699999996,0.0,-0.194004835,-0.19319732200000006,0.0,-9.323699999999949e-05,0.0,0.0,-0.0002624280000000003,-0.00016919100000000083,0.0,-6.915600000000077e-05,-6.0764999999999084e-05,0.0
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx,11,GOOD,2,GOOD_drone,-0.00024640000000886175,0.0,0.0,-0.00027719999999931133,-3.079999999044958e-05,0.0,0.00023100000001363696,-0.00012540000000171858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002196664,-0.00015588499999999992,-0.00015588499999999992,0.001754623,-0.0002861560000000001,0.0,-0.00016655100000000003,-0.00014307800000000004,0.0,181.9844531,1,-0.003938798,0.003024351,3.57496,3.1747,0.7168,0.184196325,1,-0.000278156,0.000581958,-4.999133036,-0.019690575,0,-0.01442262,0.011788722,1,181.9844531,1,-0.003938798,0.003024351,3.57496,3.1747,0.7168,0.184196325,0,-0.000625852,0.000737843,0.0,0.0,0,-0.01442262,0.011788722,1,181.9844531,1,-0.003938798,0.003024351,3.57496,3.1747,0.7168,0.184196325,1,-0.000278156,0.000581958,-4.999133036,-0.019690575,0,-0.01442262,0.011788722,1,181.9844531,1,-0.003938798,0.003024351,3.57496,3.1747,0.7168,0.184196325,1,-0.000278156,0.000581958,-4.999133036,-0.019690575,0,-0.01442262,0.011788722,1,-45.106755723999996,-4.999133036,-4.999133036,-149.369003,-99.26311424,0.0,-49.2633294,-49.050396800000016,0.0,-0.177666667,-0.019690575,-0.019690575,-0.588335226,-0.390977984,0.0,-0.19403760599999997,-0.19320032600000003,0.0,-9.350999999999977e-05,0.0,0.0,-0.000262099,-0.00016858900000000024,0.0,-6.86860000000001e-05,-6.039000000000044e-05,0.0
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx,12,GOOD,1,GOOD_not_drone,-0.00018649999998388012,0.0,0.0,0.00011200000000144428,0.0002984999999853244,0.0,-0.0003451999999981581,0.0001532999999938056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002241601,-0.00016171900000000006,-0.00016171900000000006,0.001779189,-0.0003006929999999999,0.0,-0.00017108300000000026,-0.0001464639999999998,0.0,183.7126405,1,-0.00393876,0.003024373,3.56378,3.1624,0.7236,0.186206897,1,-0.000280889,0.000593253,-4.991051945,-0.019658556,0,-0.014382631,0.011773277,1,183.7126405,1,-0.00393876,0.003024373,3.56378,3.1624,0.7236,0.186206897,0,-0.000632,0.000754972,0.0,0.0,0,-0.014382631,0.011773277,1,183.7126405,1,-0.00393876,0.003024373,3.56378,3.1624,0.7236,0.186206897,1,-0.000280889,0.000593253,-4.991051945,-0.019658556,0,-0.014382631,0.011773277,1,183.7126405,1,-0.00393876,0.003024373,3.56378,3.1624,0.7236,0.186206897,1,-0.000280889,0.000593253,-4.991051945,-0.019658556,0,-0.014382631,0.011773277,1,-45.034886404999995,-4.991051945,-4.991051945,-149.1009412,-99.07500285,0.0,-49.15519900000001,-48.9536258,0.0,-0.177381809,-0.019658556,-0.019658556,-0.587272465,-0.39023209999999997,0.0,-0.19361188100000004,-0.19281601599999998,0.0,-9.551600000000035e-05,0.0,0.0,-0.0002665370000000007,-0.00017102100000000037,0.0,-6.934100000000054e-05,-6.0969999999998734e-05,0.0
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx,13,GOOD,2,GOOD_drone,0.00014730000000895416,0.0,0.0,0.00012369999998895764,-2.3600000019996514e-05,0.0,-0.00012369999998895764,-2.520000001027256e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002234201,-0.000166549,-0.000166549,0.001772477,-0.00029517499999999995,0.0,-0.00016941199999999986,-0.00014566000000000015,0.0,173.9631143,1,-0.003938766,0.0030244,3.59152,3.2061,0.6852,0.176085113,1,-0.00028601,0.000606522,-5.003064747,-0.019705901,0,-0.014466083,0.011782996,1,173.9631143,1,-0.003938766,0.0030244,3.59152,3.2061,0.6852,0.176085113,0,-0.000643523,0.000773071,0.0,0.0,0,-0.014466083,0.011782996,1,173.9631143,1,-0.003938766,0.0030244,3.59152,3.2061,0.6852,0.176085113,1,-0.00028601,0.000606522,-5.003064747,-0.019705901,0,-0.014466083,0.011782996,1,173.9631143,1,-0.003938766,0.0030244,3.59152,3.2061,0.6852,0.176085113,1,-0.00028601,0.000606522,-5.003064747,-0.019705901,0,-0.014466083,0.011782996,1,-45.139564953000004,-5.003064747,-5.003064747,-149.5002832,-99.35765350000001,0.0,-49.31991819999999,-49.14291890000001,0.0,-0.177794017,-0.019705901,-0.019705901,-0.588846214,-0.39134629600000004,0.0,-0.194260035,-0.19356259999999992,0.0,-9.390500000000003e-05,0.0,0.0,-0.00026314700000000003,-0.000169242,0.0,-6.909300000000097e-05,-6.100899999999902e-05,0.0
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx,14,GOOD,2,GOOD_drone,0.0004505999999935284,0.0,0.0,0.0007209999999986394,0.000270400000005111,0.0,-4.509999999413594e-05,3.219999999259926e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002261772,-0.000162583,-0.000162583,0.001795619,-0.00030356999999999997,0.0,-0.00017183300000000014,-0.00014738100000000025,0.0,177.4923187,1,-0.003938762,0.003024454,3.58408,3.1919,0.6991,0.179671036,1,-0.000284772,0.000599669,-5.000862041,-0.019697205,0,-0.014445151,0.011784241,1,177.4923187,1,-0.003938762,0.003024454,3.58408,3.1919,0.6991,0.179671036,0,-0.000640736,0.000762252,0.0,0.0,0,-0.014445151,0.011784241,1,177.4923187,1,-0.003938762,0.003024454,3.58408,3.1919,0.6991,0.179671036,1,-0.000284772,0.000599669,-5.000862041,-0.019697205,0,-0.014445151,0.011784241,1,177.4923187,1,-0.003938762,0.003024454,3.58408,3.1919,0.6991,0.179671036,1,-0.000284772,0.000599669,-5.000862041,-0.019697205,0,-0.014445151,0.011784241,1,-45.121748579000005,-5.000862041,-5.000862041,-149.4245818,-99.30197118,0.0,-49.29134590000001,-49.0995308,0.0,-0.177723328,-0.019697205,-0.019697205,-0.588545474,-0.391124941,0.0,-0.19414628999999994,-0.19339045300000002,0.0,-9.479900000000131e-05,0.0,0.0,-0.00026476600000000135,-0.00016996700000000003,0.0,-6.913999999999879e-05,-6.087000000000106e-05,0.0
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx,15,GOOD,2,GOOD_drone,0.00039160000000038053,0.0,0.0,0.0006145000000117307,0.00022290000001135013,0.0,0.00015359999997599516,0.00012260000002584093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002269608,-0.00016876100000000002,-0.00016876100000000002,0.001790847,-0.00030999999999999995,0.0,-0.0001717400000000001,-0.00014726600000000006,0.0,177.9502186,1,-0.003938742,0.003024416,3.57752,3.1864,0.7009,0.180305096,1,-0.000287449,0.000611372,-4.995770688,-0.019677052,0,-0.014421523,0.01177374,1,177.9502186,1,-0.003938742,0.003024416,3.57752,3.1864,0.7009,0.180305096,0,-0.000646759,0.000780133,0.0,0.0,0,-0.014421523,0.01177374,1,177.9502186,1,-0.003938742,0.003024416,3.57752,3.1864,0.7009,0.180305096,1,-0.000287449,0.000611372,-4.995770688,-0.019677052,0,-0.014421523,0.01177374,1,177.9502186,1,-0.003938742,0.003024416,3.57752,3.1864,0.7009,0.180305096,1,-0.000287449,0.000611372,-4.995770688,-0.019677052,0,-0.014421523,0.01177374,1,-45.074966672,-4.995770688,-4.995770688,-149.270124,-99.19938664,0.0,-49.24546989999999,-49.05806369999999,0.0,-0.17753823,-0.019677052,-0.019677052,-0.587934477,-0.390719195,0.0,-0.193963856,-0.19322554999999997,0.0,-9.546000000000034e-05,0.0,0.0,-0.0002660489999999991,-0.00017058899999999877,0.0,-6.975000000000037e-05,-6.158199999999926e-05,0.0
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx,16,GOOD,2,GOOD_drone,-0.0005106000000125732,0.0,0.0,-0.00023419999999418906,0.00027640000001838416,0.0,-0.0001412000000016178,5.3600000001097214e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002276598,-0.00017258400000000004,-0.00017258400000000004,0.0017990659999999998,-0.0003049480000000002,0.0,-0.0001721979999999997,-0.00014737300000000012,0.0,177.4442443,1,-0.003938702,0.00302438,3.57606,3.1841,0.6989,0.179989699,1,-0.000298107,0.000630859,-4.990419105,-0.019655774,0,-0.014411955,0.011759574,1,177.4442443,1,-0.003938702,0.00302438,3.57606,3.1841,0.6989,0.179989699,0,-0.000670741,0.000803443,0.0,0.0,0,-0.014411955,0.011759574,1,177.4442443,1,-0.003938702,0.00302438,3.57606,3.1841,0.6989,0.179989699,1,-0.000298107,0.000630859,-4.990419105,-0.019655774,0,-0.014411955,0.011759574,1,177.4442443,1,-0.003938702,0.00302438,3.57606,3.1841,0.6989,0.179989699,1,-0.000298107,0.000630859,-4.990419105,-0.019655774,0,-0.014411955,0.011759574,1,-45.027137405,-4.990419105,-4.990419105,-149.1542532,-99.13669669000001,0.0,-49.22417139999999,-49.05327,0.0,-0.17734904299999998,-0.019655774,-0.019655774,-0.587474931,-0.39047011400000003,0.0,-0.19388021999999994,-0.19320632700000007,0.0,-9.49060000000005e-05,0.0,0.0,-0.00026628300000000084,-0.00017137700000000033,0.0,-7.037399999999978e-05,-6.24389999999992e-05,0.0
2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx,17,GOOD,2,GOOD_drone,-0.00018190000000117834,0.0,0.0,-0.00014550000000213004,3.6399999999048305e-05,0.0,6.97000000116077e-05,-1.5200000007098424e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002272261,-0.00017494599999999993,-0.00017494599999999993,0.001790478,-0.0003068369999999999,0.0,-0.000171755,-0.0001475080000000002,0.0,179.1459491,1,-0.003938688,0.00302434,3.56802,3.175,0.7056,0.181827552,1,-0.000296335,0.000631542,-4.986369178,-0.019639752,0,-0.014385984,0.011753733,1,179.1459491,1,-0.003938688,0.00302434,3.56802,3.175,0.7056,0.181827552,0,-0.000666755,0.000806488,0.0,0.0,0,-0.014385984,0.011753733,1,179.1459491,1,-0.003938688,0.00302434,3.56802,3.175,0.7056,0.181827552,1,-0.000296335,0.000631542,-4.986369178,-0.019639752,0,-0.014385984,0.011753733,1,179.1459491,1,-0.003938688,0.00302434,3.56802,3.175,0.7056,0.181827552,1,-0.000296335,0.000631542,-4.986369178,-0.019639752,0,-0.014385984,0.011753733,1,-44.990174302,-4.986369178,-4.986369178,-149.018905,-99.04236151999999,0.0,-49.1734994,-48.982242600000006,0.0,-0.17720245999999998,-0.019639752,-0.019639752,-0.58693945,-0.39009723800000007,0.0,-0.19367892499999995,-0.192925935,0.0,-9.539400000000038e-05,0.0,0.0,-0.00026740800000000023,-0.00017201399999999985,0.0,-7.070500000000077e-05,-6.258399999999921e-05,0.0
